SG_UF,ANO_ELEICAO,CD_CARGO,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,NR_IDADE_DATA_POSSE,NM_COLIGACAO,SQ_COLIGACAO,NR_PARTIDO,NM_PARTIDO,DS_SIT_TOT_TURNO,eleito,QT_VOTOS,ranking_colig,CADEIRAS_r1,CADEIRAS_r2,CADEIRAS_r3,CADEIRAS_r4,eleito_r1,eleito_r2,eleito_r3,eleito_r4
PR,2018,6,DEPUTADO FEDERAL,5590,GILSON CARDOSO FAHUR,APTO,55,MUDA PARANÁ,160000050509,55,PARTIDO SOCIAL DEMOCRÁTICO,ELEITO POR QP,1,314963,1,10,10,10,10,1,1,1,1
CE,2018,6,DEPUTADO FEDERAL,9090,WAGNER SOUSA GOMES,APTO,40,PARTIDO ISOLADO,60000050042,90,PARTIDO REPUBLICANO DA ORDEM SOCIAL,ELEITO POR QP,1,303593,1,2,2,2,2,1,1,1,1
GO,2018,6,DEPUTADO FEDERAL,1700,WALDIR SOARES DE OLIVEIRA,APTO,56,PÁTRIA E FAMÍLIA CRISTÃ,90000050442,17,PARTIDO SOCIAL LIBERAL,ELEITO POR QP,1,274406,1,2,2,2,2,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,1200,TABATA CLAUDIA AMARAL DE PONTES,APTO,25,PARTIDO ISOLADO,250000050629,12,PARTIDO DEMOCRÁTICO TRABALHISTA,ELEITO POR QP,1,264450,1,1,1,1,1,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,2240,KATIA DA SILVA SASTRE,APTO,42,PARTIDO ISOLADO,250000050504,22,PARTIDO DA REPÚBLICA,ELEITO POR QP,1,264013,2,6,6,7,7,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,5000,SAMIA DE SOUZA BOMFIM,APTO,29,SEM MEDO DE MUDAR SÃO PAULO,250000050048,50,PARTIDO SOCIALISMO E LIBERDADE,ELEITO POR QP,1,249887,1,3,3,4,3,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,2200,JOSÉ AUGUSTO ROSA,APTO,52,PARTIDO ISOLADO,250000050504,22,PARTIDO DA REPÚBLICA,ELEITO POR QP,1,242327,3,6,6,7,7,1,1,1,1
PR,2018,6,DEPUTADO FEDERAL,1777,LUIS FELIPE BONATTO FRANCISCHINI,APTO,27,ENDIREITA BRASIL,160000050714,17,PARTIDO SOCIAL LIBERAL,ELEITO POR QP,1,241537,1,3,3,3,3,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,1920,MARCO ANTONIO FELICIANO,APTO,46,UNIDOS POR SÃO PAULO,250000050366,19,PODEMOS,ELEITO POR QP,1,239784,1,2,2,3,3,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,1717,MARCELO HENRIQUE TEIXEIRA DIAS,APTO,44,PARTIDO ISOLADO,130000050443,17,PARTIDO SOCIAL LIBERAL,ELEITO POR QP,1,230008,1,6,6,6,6,1,1,1,1
RJ,2018,6,DEPUTADO FEDERAL,4040,ALESSANDRO LUCCIOLA MOLON,APTO,47,RENOVAR PARA MUDAR,190000050414,40,PARTIDO SOCIALISTA BRASILEIRO,ELEITO POR QP,1,227914,1,3,3,3,3,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,1515,LUIZ FELIPE BALEIA TENUTO ROSSI,APTO,46,PARTIDO ISOLADO,250000050112,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,ELEITO POR QP,1,214042,1,2,2,2,2,1,1,1,1
PR,2018,6,DEPUTADO FEDERAL,1313,GLEISI HELENA HOFFMANN,APTO,53,PARTIDO ISOLADO,160000050614,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,212513,1,3,3,3,3,1,1,1,1
CE,2018,6,DEPUTADO FEDERAL,4321,CELIO STUDART BARBOSA,APTO,31,EM DEFESA DO CEARÁ,60000050295,43,PARTIDO VERDE,ELEITO POR QP,1,208854,1,6,6,6,6,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,3030,VINICIUS LAZZER POIT,APTO,33,PARTIDO ISOLADO,250000050056,30,PARTIDO NOVO,ELEITO POR QP,1,207118,1,3,3,3,3,1,1,1,1
RJ,2018,6,DEPUTADO FEDERAL,1777,CARLOS ROBERTO COELHO DE MATTOS JÚNIOR,APTO,36,PARTIDO ISOLADO,190000050390,17,PARTIDO SOCIAL LIBERAL,ELEITO POR QP,1,204048,2,13,12,13,12,1,1,1,1
AM,2018,6,DEPUTADO FEDERAL,1313,JOSE RICARDO WENDLING,APTO,54,O POVO FELIZ DE NOVO,40000050768,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,197270,1,1,1,1,1,1,1,1,1
RJ,2018,6,DEPUTADO FEDERAL,5593,FLORDELIS DOS SANTOS DE SOUZA,APTO,57,PARTIDO ISOLADO,190000050208,55,PARTIDO SOCIAL DEMOCRÁTICO,ELEITO POR QP,1,196959,1,4,3,4,3,1,1,1,1
MA,2018,6,DEPUTADO FEDERAL,2222,JOSIMAR CUNHA RODRIGUES,APTO,42,TODOS PELO MARANHÃO 2,100000050046,22,PARTIDO DA REPÚBLICA,ELEITO POR QP,1,195768,1,6,5,6,5,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,1312,REGINALDO LAZARO DE OLIVEIRA LOPES,APTO,45,JUNTOS COM O POVO,130000050732,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,194332,1,12,12,12,12,1,1,1,1
PE,2018,6,DEPUTADO FEDERAL,1310,MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,APTO,34,PARTIDO ISOLADO,170000050562,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,193108,1,2,2,2,2,1,1,1,1
MA,2018,6,DEPUTADO FEDERAL,3333,EDUARDO SALIM BRAIDE,APTO,43,JUNTOS PELO MARANHÃO,100000050395,33,PARTIDO DA MOBILIZAÇÃO NACIONAL,ELEITO POR QP,1,189843,1,2,2,2,2,1,1,1,1
BA,2018,6,DEPUTADO FEDERAL,5588,OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,APTO,41,FRENTE DO TRABALHO POR TODA BAHIA,50000050204,55,PARTIDO SOCIAL DEMOCRÁTICO,ELEITO POR QP,1,185428,1,24,23,24,23,1,1,1,1
PA,2018,6,DEPUTADO FEDERAL,5050,EDMILSON BRITO RODRIGUES,APTO,61,JUNTOS PARA MUDAR,140000050125,50,PARTIDO SOCIALISMO E LIBERDADE,ELEITO POR QP,1,184042,1,1,1,1,1,1,1,1,1
RS,2018,6,DEPUTADO FEDERAL,2522,ONYX DORNELLES LORENZONI,APTO,64,ENDIREITA RIO GRANDE,210000050101,25,DEMOCRATAS,ELEITO POR QP,1,183518,1,4,4,4,4,1,1,1,1
ES,2018,6,DEPUTADO FEDERAL,1010,AMARO ROCHA NASCIMENTO NETO,APTO,42,COLIGAÇÃO EM DEFESA DA VIDA E DA FAMILIA,80000050196,10,PARTIDO REPUBLICANO BRASILEIRO,ELEITO POR QP,1,181813,1,4,3,4,3,1,1,1,1
SC,2018,6,DEPUTADO FEDERAL,1010,HÉLIO FRANCISCO DA COSTA,APTO,64,UNIÃO E TRABALHO,240000050500,10,PARTIDO REPUBLICANO BRASILEIRO,ELEITO POR QP,1,179307,1,2,2,2,2,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,7040,ANDRE LUIS GASPAR JANONES,APTO,34,PARTIDO ISOLADO,130000050180,70,AVANTE,ELEITO POR QP,1,178660,1,3,3,3,3,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,5021,LUIZA ERUNDINA DE SOUSA,APTO,84,SEM MEDO DE MUDAR SÃO PAULO,250000050048,50,PARTIDO SOCIALISMO E LIBERDADE,ELEITO POR QP,1,176883,2,3,3,4,3,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,1378,PAULO JOSÉ CARLOS GUEDES,APTO,48,JUNTOS COM O POVO,130000050732,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,176841,2,12,12,12,12,1,1,1,1
PA,2018,6,DEPUTADO FEDERAL,2222,CRISTIANO DUTRA VALE,APTO,48,RENOVAÇÃO E TRABALHO,140000050177,22,PARTIDO DA REPÚBLICA,ELEITO POR QP,1,176812,1,9,9,9,9,1,1,1,1
PE,2018,6,DEPUTADO FEDERAL,2020,ANDRE FERREIRA RODRIGUES,APTO,46,PERNAMBUCO VAI MUDAR COM SEUS DEPUTADOS FEDERAIS,170000050453,20,PARTIDO SOCIAL CRISTÃO,ELEITO POR QP,1,175834,1,6,6,6,6,1,1,1,1
CE,2018,6,DEPUTADO FEDERAL,1313,LUIZIANNE DE OLIVEIRA LINS,APTO,50,EM DEFESA DO CEARÁ,60000050295,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,173777,2,6,6,6,6,1,1,1,1
CE,2018,6,DEPUTADO FEDERAL,1322,JOSE NOBRE GUIMARAES,APTO,59,EM DEFESA DO CEARÁ,60000050295,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,173039,3,6,6,6,6,1,1,1,1
GO,2018,6,DEPUTADO FEDERAL,1212,FLAVIA CARREIRO ALBUQUERQUE MORAIS,APTO,49,A MUDANÇA É AGORA I,90000050428,12,PARTIDO DEMOCRÁTICO TRABALHISTA,ELEITO POR QP,1,169774,1,6,6,6,6,1,1,1,1
PA,2018,6,DEPUTADO FEDERAL,1515,ELCIONE THEREZINHA ZAHLUTH BARBALHO,APTO,74,RENOVAÇÃO E TRABALHO,140000050177,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,ELEITO POR QP,1,165202,2,9,9,9,9,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,5018,ÁUREA CAROLINA DE FREITAS E SILVA,APTO,35,FRENTE MINAS SOCIALISTA,130000050181,50,PARTIDO SOCIALISMO E LIBERDADE,ELEITO POR QP,1,162740,1,1,1,1,1,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,1010,GILBERTO APARECIDO ABRAMO,APTO,52,#MINAS PARA TODOS,130000050539,10,PARTIDO REPUBLICANO BRASILEIRO,ELEITO POR QP,1,162092,1,8,8,8,8,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,1919,RENATA HELLMEISTER DE ABREU,APTO,36,UNIDOS POR SÃO PAULO,250000050366,19,PODEMOS,ELEITO POR QP,1,161239,2,2,2,3,3,1,1,1,1
PA,2018,6,DEPUTADO FEDERAL,1010,WAGNER BACH MARTINS,APTO,36,RENOVAÇÃO E TRABALHO,140000050177,10,PARTIDO REPUBLICANO BRASILEIRO,ELEITO POR QP,1,158717,3,9,9,9,9,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,1720,GERALDO JUNIO DO AMARAL,APTO,31,PARTIDO ISOLADO,130000050443,17,PARTIDO SOCIAL LIBERAL,ELEITO POR QP,1,158541,2,6,6,6,6,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,1313,RUI GOETHE DA COSTA FALCÃO,APTO,75,SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES,250000050635,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,158389,1,8,8,9,9,1,1,1,1
CE,2018,6,DEPUTADO FEDERAL,1221,CARLOS MAURO BENEVIDES FILHO,APTO,59,"PDT, PTB, DEM, PSB, PRP, PPL",60000050323,12,PARTIDO DEMOCRÁTICO TRABALHISTA,ELEITO POR QP,1,157510,1,8,8,8,8,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,9033,EROS FERREIRA BIONDINI,APTO,47,PARTIDO ISOLADO,130000050538,90,PARTIDO REPUBLICANO DA ORDEM SOCIAL,ELEITO POR QP,1,157394,1,2,2,2,2,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,1777,ALEXANDRE FROTA DE ANDRADE,APTO,55,PARTIDO ISOLADO,250000050356,17,PARTIDO SOCIAL LIBERAL,ELEITO POR QP,1,155522,3,17,17,10,10,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,5050,IVAN VALENTE,APTO,72,SEM MEDO DE MUDAR SÃO PAULO,250000050048,50,PARTIDO SOCIALISMO E LIBERDADE,ELEITO POR QP,1,155334,3,3,3,4,3,1,1,1,1
PA,2018,6,DEPUTADO FEDERAL,1555,JOSÉ BENITO PRIANTE JUNIOR,APTO,55,RENOVAÇÃO E TRABALHO,140000050177,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,ELEITO POR QP,1,154647,4,9,9,9,9,1,1,1,1
CE,2018,6,DEPUTADO FEDERAL,1213,ANTONIO IDILVAN DE LIMA ALENCAR,APTO,50,"PDT, PTB, DEM, PSB, PRP, PPL",60000050323,12,PARTIDO DEMOCRÁTICO TRABALHISTA,ELEITO POR QP,1,154338,2,8,8,8,8,1,1,1,1
RS,2018,6,DEPUTADO FEDERAL,2222,GIOVANI CHERINI,APTO,58,Unidos pelo Rio Grande,210000050033,22,PARTIDO DA REPÚBLICA,ELEITO POR QP,1,151719,1,3,3,4,3,1,1,1,1
AM,2018,6,DEPUTADO FEDERAL,1717,PABLO OLIVA SOUZA,APTO,42,EU VOTO NO AMAZONAS I,40000050278,17,PARTIDO SOCIAL LIBERAL,ELEITO POR QP,1,151649,1,4,4,4,4,1,1,1,1
GO,2018,6,DEPUTADO FEDERAL,2580,ZACARIAS CALIL HAMU,APTO,65,A MUDANÇA É AGORA I,90000050428,25,DEMOCRATAS,ELEITO POR QP,1,151508,2,6,6,6,6,1,1,1,1
BA,2018,6,DEPUTADO FEDERAL,1919,JOÃO CARLOS BACELAR BATISTA,APTO,61,FRENTE DO TRABALHO POR TODA BAHIA,50000050204,19,PODEMOS,ELEITO POR QP,1,149274,2,24,23,24,23,1,1,1,1
PA,2018,6,DEPUTADO FEDERAL,4590,NILSON PINTO DE OLIVEIRA,APTO,66,TODOS PELO PARÁ,140000050367,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,ELEITO POR QP,1,148972,1,5,5,5,5,1,1,1,1
PB,2018,6,DEPUTADO FEDERAL,4040,GERVÁSIO AGRIPINO MAIA,APTO,43,A FORÇA DO TRABALHO I,150000050226,40,PARTIDO SOCIALISTA BRASILEIRO,ELEITO POR QP,1,146860,1,6,6,6,6,1,1,1,1
PA,2018,6,DEPUTADO FEDERAL,5588,JOÃO FERRARI JUNIOR,APTO,51,RENOVAÇÃO E TRABALHO,140000050177,55,PARTIDO SOCIAL DEMOCRÁTICO,ELEITO POR QP,1,146678,5,9,9,9,9,1,1,1,1
PA,2018,6,DEPUTADO FEDERAL,4567,CELSO SABINO DE OLIVEIRA,APTO,40,TODOS PELO PARÁ,140000050367,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,ELEITO POR QP,1,146288,2,5,5,5,5,1,1,1,1
PA,2018,6,DEPUTADO FEDERAL,5500,ÉDER MAURO CARDOSO BARRA,APTO,58,RENOVAÇÃO E TRABALHO,140000050177,55,PARTIDO SOCIAL DEMOCRÁTICO,ELEITO POR QP,1,145653,6,9,9,9,9,1,1,1,1
PA,2018,6,DEPUTADO FEDERAL,1313,JOSE ROBERTO OLIVEIRA FARO,APTO,49,PRA VIVER EM PAZ,140000050740,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,143822,1,2,2,2,2,1,1,1,1
SC,2018,6,DEPUTADO FEDERAL,1717,DANIEL COSTA DE FREITAS,APTO,36,PARTIDO ISOLADO,240000050254,17,PARTIDO SOCIAL LIBERAL,ELEITO POR QP,1,142571,1,4,4,4,4,1,1,1,1
PR,2018,6,DEPUTADO FEDERAL,1080,LUIZ GOULARTE ALVES,APTO,56,"PRB, PHS, AVANTE",160000050507,10,PARTIDO REPUBLICANO BRASILEIRO,ELEITO POR QP,1,141730,1,2,2,2,2,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,1010,MARCOS ANTONIO PEREIRA,APTO,46,PARTIDO ISOLADO,250000050175,10,PARTIDO REPUBLICANO BRASILEIRO,ELEITO POR QP,1,139165,2,6,6,6,6,1,1,1,1
PI,2018,6,DEPUTADO FEDERAL,1311,REJANE RIBEIRO SOUSA DIAS,APTO,46,A Vitória com a Força do Povo II,180000050371,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,138800,1,10,8,10,8,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,1370,CARLOS ALBERTO ROLIM ZARATTINI,APTO,59,SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES,250000050635,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,137909,2,8,8,9,9,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,5500,MARCO AURELIO BERTAIOLLI,APTO,50,PSDB-PSD-DEM-PP,250000050157,55,PARTIDO SOCIAL DEMOCRÁTICO,ELEITO POR QP,1,137628,2,15,15,17,17,1,1,1,1
BA,2018,6,DEPUTADO FEDERAL,1717,DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,APTO,33,RENOVA BAHIA,50000050178,17,PARTIDO SOCIAL LIBERAL,ELEITO POR QP,1,136742,1,3,3,3,3,1,1,1,1
RJ,2018,6,DEPUTADO FEDERAL,1545,DANIELA MOTE DE SOUZA CARNEIRO,APTO,42,O RIO QUER PAZ,190000050195,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,ELEITO POR QP,1,136286,1,9,9,9,9,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,2299,MARCIO LUIZ ALVINO DE SOUZA,APTO,49,PARTIDO ISOLADO,250000050504,22,PARTIDO DA REPÚBLICA,ELEITO POR QP,1,135844,4,6,6,7,7,1,1,1,1
BA,2018,6,DEPUTADO FEDERAL,1313,JORGE JOSÉ SANTOS PEREIRA SOLLA,APTO,57,FRENTE DO TRABALHO POR TODA BAHIA,50000050204,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,135657,3,24,23,24,23,1,1,1,1
PA,2018,6,DEPUTADO FEDERAL,2500,OLIVAL HENRIQUE MARQUES DE SOUZA,APTO,37,TODOS PELO PARÁ,140000050367,25,DEMOCRATAS,ELEITO POR QP,1,135398,3,5,5,5,5,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,1100,GUILHERME MUSSI FERREIRA,APTO,36,PSDB-PSD-DEM-PP,250000050157,11,PARTIDO PROGRESSISTA,ELEITO POR QP,1,134301,3,15,15,17,17,1,1,1,1
MA,2018,6,DEPUTADO FEDERAL,6513,MÁRCIO JERRY SARAIVA BARROSO,APTO,52,TODOS PELO MARANHÃO 1,100000050055,65,PARTIDO COMUNISTA DO BRASIL,ELEITO POR QP,1,134223,1,6,6,6,6,1,1,1,1
RS,2018,6,DEPUTADO FEDERAL,1307,PAULO ROBERTO SEVERO PIMENTA,APTO,53,PARTIDO ISOLADO,210000050305,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,133086,1,5,5,5,5,1,1,1,1
PI,2018,6,DEPUTADO FEDERAL,2222,FÁBIO ABREU COSTA,APTO,46,A Vitória com a Força do Povo II,180000050371,22,PARTIDO DA REPÚBLICA,ELEITO POR QP,1,132719,2,10,8,10,8,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,2345,ARNALDO CALIL PEREIRA JARDIM,APTO,63,"Coligação PSB, PTB, PPS, PSC",250000050402,23,PARTIDO POPULAR SOCIALISTA,ELEITO POR QP,1,132363,1,6,6,7,7,1,1,1,1
CE,2018,6,DEPUTADO FEDERAL,1111,ANTONIO JOSE AGUIAR ALBUQUERQUE,APTO,35,EM DEFESA DO CEARÁ,60000050295,11,PARTIDO PROGRESSISTA,ELEITO POR QP,1,132319,4,6,6,6,6,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,1313,ROGERIO CORREIA DE MOURA BAPTISTA,APTO,61,JUNTOS COM O POVO,130000050732,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,131312,3,12,12,12,12,1,1,1,1
CE,2018,6,DEPUTADO FEDERAL,1233,MARCOS ROBERIO RIBEIRO MONTEIRO,APTO,48,"PDT, PTB, DEM, PSB, PRP, PPL",60000050323,12,PARTIDO DEMOCRÁTICO TRABALHISTA,ELEITO POR QP,1,131275,3,8,8,8,8,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,1315,JOÃO CARLOS SIQUEIRA,APTO,51,JUNTOS COM O POVO,130000050732,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,131228,4,12,12,12,12,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,4550,RODRIGO BATISTA DE CASTRO,APTO,47,RECONSTRUÇÃO JÁ,130000050355,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,ELEITO POR QP,1,131120,1,12,12,12,12,1,1,1,1
PA,2018,6,DEPUTADO FEDERAL,4011,CÁSSIO COELHO ANDRADE,APTO,37,TODOS PELO PARÁ,140000050367,40,PARTIDO SOCIALISTA BRASILEIRO,ELEITO POR QP,1,130768,4,5,5,5,5,1,1,1,1
BA,2018,6,DEPUTADO FEDERAL,1301,AFONSO BANDEIRA FLORENCE,APTO,58,FRENTE DO TRABALHO POR TODA BAHIA,50000050204,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,130548,4,24,23,24,23,1,1,1,1
PE,2018,6,DEPUTADO FEDERAL,2233,SEBASTIÃO IGNACIO DE OLIVEIRA JUNIOR,APTO,50,PERNAMBUCO EM 1. LUGAR,170000050375,22,PARTIDO DA REPÚBLICA,ELEITO POR QP,1,129978,1,4,4,4,4,1,1,1,1
PI,2018,6,DEPUTADO FEDERAL,1313,FRANCISCO DE ASSIS CARVALHO GONÇALVES,APTO,57,A Vitória com a Força do Povo II,180000050371,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,129623,3,10,8,10,8,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,9090,WELITON FERNANDES PRADO,APTO,43,PARTIDO ISOLADO,130000050538,90,PARTIDO REPUBLICANO DA ORDEM SOCIAL,ELEITO POR MÉDIA,1,129199,2,2,2,2,2,1,1,1,1
BA,2018,6,DEPUTADO FEDERAL,1323,JOSÉ CERQUEIRA DE SANTANA NETO,APTO,54,FRENTE DO TRABALHO POR TODA BAHIA,50000050204,13,PARTIDO DOS TRABALHADORES,ELEITO POR QP,1,129196,5,24,23,24,23,1,1,1,1
MG,2018,6,DEPUTADO FEDERAL,5505,MISAEL ARTUR FERREIRA VARELLA,APTO,59,RECONSTRUÇÃO JÁ,130000050355,55,PARTIDO SOCIAL DEMOCRÁTICO,ELEITO POR QP,1,128537,2,12,12,12,12,1,1,1,1
CE,2018,6,DEPUTADO FEDERAL,1515,MOSES HAENDEL MELO RODRIGUES,APTO,40,MDB/PHS/AVANTE/SD/PSD/PSC/PODEMOS/PRB,60000050146,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,ELEITO POR QP,1,128526,1,4,3,4,3,1,1,1,1
BA,2018,6,DEPUTADO FEDERAL,5510,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,APTO,50,FRENTE DO TRABALHO POR TODA BAHIA,50000050204,55,PARTIDO SOCIAL DEMOCRÁTICO,ELEITO POR QP,1,127716,6,24,23,24,23,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,2343,ALEX SPINELLI MANENTE,APTO,39,"Coligação PSB, PTB, PPS, PSC",250000050402,23,PARTIDO POPULAR SOCIALISTA,ELEITO POR QP,1,127366,2,6,6,7,7,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,4585,BRUNA DIAS FURLAN,APTO,35,PSDB-PSD-DEM-PP,250000050157,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,ELEITO POR QP,1,126847,4,15,15,17,17,1,1,1,1
BA,2018,6,DEPUTADO FEDERAL,6522,ALICE MAZZUCO PORTUGAL,APTO,59,FRENTE DO TRABALHO POR TODA BAHIA,50000050204,65,PARTIDO COMUNISTA DO BRASIL,ELEITO POR QP,1,126595,7,24,23,24,23,1,1,1,1
MT,2018,6,DEPUTADO FEDERAL,1700,NELSON NED PREVIDENTE,APTO,58,Fé e Trabalho II,110000050565,17,PARTIDO SOCIAL LIBERAL,ELEITO POR QP,1,126249,1,1,1,1,1,1,1,1,1
RN,2018,6,DEPUTADO FEDERAL,3666,LUIZ BENES LEOCADIO DE ARAUJO,APTO,52,TRABALHO E SUPERAÇÃO I,200000050307,36,PARTIDO TRABALHISTA CRISTÃO,ELEITO POR QP,1,125841,1,4,4,4,4,1,1,1,1
SP,2018,6,DEPUTADO FEDERAL,4500,CARLOS HENRIQUE FOCESI SAMPAIO,APTO,55,PSDB-PSD-DEM-PP,250000050157,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,ELEITO POR QP,1,125666,5,15,15,17,17,1,1,1,1
